synset,ImageNet,creative_commons,grand_total,hypernyms,,,
,524,5760,6284,,,,
,,,,,,,
bathroom.n.01,24,320,344,room.n.01,16,,
bathtub.n.01,0,20,20,vessel.n.03,,,
clipper.n.04,0,20,20,scissors.n.01,,,
dryer.n.01,0,20,20,appliance.n.02,,,
flatiron.n.01,0,20,20,iron.n.04,,,
hair_dryer.n.01,3,20,23,"blower.n.01, dryer.n.01",,,
hairbrush.n.02,10,20,30,brush.n.02,,,
razor.n.01,0,20,20,edge_tool.n.01,,,
shower.n.01,0,20,20,plumbing_fixture.n.01,,,
showerhead.n.01,0,20,20,nozzle.n.01,,,
sink.n.01,0,20,20,plumbing_fixture.n.01,,,
soap.n.01,1,20,21,cleansing_agent.n.01,,,
toilet.n.02,0,20,20,plumbing_ficture.n.01,,,
toilet_paper.n.01,0,20,20,tissue.n.01,,,
toothbrush.n.01,2,20,22,brush.n.02,,,
towel.n.01,8,20,28,piece_of_cloth.n.01,,,
urinal.n.01,0,20,20,plumbing_ficture.n.01,,,
clothing.n.01,25,320,345,covering.n.02,16,,
camisole.n.01,1,20,21,undergarment.n.01,,,
cap.n.01,0,20,20,headdress.n.01,,,
dress.n.01,2,20,22,woman's_clothing.n.01,,,
handbag.n.01,2,20,22,container.n.01,,,
helmet.n.02,1,20,21,headdress.n.01,,,
jacket.n.01,1,20,21,coat.n.01,,,
mitten.n.01,1,20,21,glove.n.02,,,
pant.n.02,2,20,22,garment.n.01,,,
pyjama.n.02,1,20,21,nightwear.n.01,,,
scarf.n.01,0,20,20,garment.n.01,,,
shoe.n.01,9,20,29,footwear.n.02,,,
shorts.n.01,0,20,20,trouser.n.01,,,
skirt.n.02,0,20,20,garment.n.01,,,
sock.n.01,0,20,20,hosiery.n.01,,,
t-shirt.n.01,3,20,23,shirt.n.01,,,
tuxedo.n.01,2,20,22,formalwear.n.01,,,
decoration.n.01,16,320,276,artifact.n.01,16,,
balloon.n.02,0,20,20,plaything.n.01,,,
candle.n.01,0,20,20,lamp.n.01,,,
carpet.n.01,0,20,20,floor_covering.n.01,,,
chandelier.n.01,0,20,20,lighting_fixture.n.01,,,
chime.n.01,0,20,20,percussion_instrument.n.01,,,
christmas_gift.n.01,10,20,30,present.n.02,,,
christmas_stocking.n.01,4,20,24,stocking.n.01,,,
christmas_tree.n.01,0,20,20,tree.n.01,,,
clock.n.01,0,20,20,timepiece.n.01,,,
curtain.n.01,0,20,20,blind.n.03,,,
cushion.n.03,0,20,20,padding.n.01,,,
essential_oil.n.01,0,20,20,oil.n.01,,,
flowerpot.n.01,2,20,22,container.n.01,,,
fountain.n.01,0,20,20,structure.n.01,,,
knocker.n.05,0,20,20,device.n.01,,,
menorah.n.01,0,20,20,candelabrum.n.01,,,
electronic_device.n.01,17,320,297,device.n.01,16,,
camera.n.01,1,20,21,photographic_equipment.n.01,,,
cellphone.n.01,2,20,22,radiotelephone.n.02,,,
controller.n.03,0,20,20,mechanism.n.05,,,
earphone.n.01,0,20,20,electro-acoustic_transducer.n.01,,,
headphone.n.01,0,20,20,electro-acoustic_transducer.n.01,,,
keyboard.n.01,0,20,20,device.n.01,,,
laptop.n.01,3,20,23,portable_computer.n.01,,,
microphone.n.01,3,20,23,electro-acoustic_transducer.n.01,,,
mouse.n.04,0,20,20,electronic_device.n.01,,,
printer.n.03,0,20,20,machine.n.01,,,
radio.n.01,1,20,21,receiver.n.01,,,
remote.n.01,1,20,21,device.n.01,,,
speaker.n.01,3,20,23,electro-acoustic_transducer.n.01,,,
television.n.03,3,20,23,receiver.n.01,,,
video_game.n.01,0,20,20,game.n.03,,,
walkie-talkie.n.01,0,20,20,radio_link.n.01,,,
food.n.01,96,320,416,substance.n.07,16,,
bagel.n.01,11,20,31,bun.n.01,,,
bread.n.01,10,20,30,baked_goods.n.01,,,
burger.n.02,10,20,30,sandwich.n.01,,,
cereal.n.03,1,20,21,breakfast_food.n.01,,,
coffee.n.01,10,20,30,beverage.n.01,,,
egg.n.02,0,20,20,foodstuff.n.02,,,
fish_filet.n.02,1,20,21,food.n.02,,,
