subject_id,image_name_1,#name
0,0.jpg,meter12-compressed.jpg
1,1.jpg,stool15-compressed.jpg
2,2.jpg,fish_filet15-compressed.jpg
3,3.jpg,body_butterfly11-compressed.jpg
4,4.jpg,caravan12-compressed.jpg
5,5.jpg,mouth_human23-compressed.jpg
6,6.jpg,face_penguin15-compressed.jpg
7,7.jpg,rake19-compressed.jpg
8,8.jpg,steam_iron19-compressed.jpg
9,9.jpg,chinese_checkers15-compressed.jpg
10,10.jpg,xylophone13-compressed.jpg
11,11.jpg,face_giraffe19-compressed.jpg
12,12.jpg,elder_female_face39-compressed.jpg
13,13.jpg,body_chameleon18-compressed.jpg
14,14.jpg,snowshoe18-compressed.jpg
15,15.jpg,body_horse14-compressed.jpg
16,16.jpg,body_elephant15-compressed.jpg
17,17.jpg,scouring_pad14-compressed.jpg
18,18.jpg,baby_male_face14-compressed.jpg
19,19.jpg,body_tiger16-compressed.jpg
20,20.jpg,face_elk11-compressed.jpg
21,21.jpg,body_grasshopper18-compressed.jpg
22,22.jpg,pipe_wrench11-compressed.jpg
23,23.jpg,christmas_gift11-compressed.jpg
24,24.jpg,violin16-compressed.jpg
25,25.jpg,body_trout16-compressed.jpg
26,26.jpg,car13-compressed.jpg
27,27.jpg,foot_human73-compressed.jpg
28,28.jpg,foot_human66-compressed.jpg
29,29.jpg,banana16-compressed.jpg
30,30.jpg,watch16-compressed.jpg
31,31.jpg,broom19-compressed.jpg
32,32.jpg,fishing_rod18-compressed.jpg
33,33.jpg,face_elephant20-compressed.jpg
34,34.jpg,elder_male_face112-compressed.jpg
35,35.jpg,bed18-compressed.jpg
36,36.jpg,dryer20-compressed.jpg
37,37.jpg,adolescent_female_face35-compressed.jpg
38,38.jpg,adolescent_female_face20-compressed.jpg
39,39.jpg,body_surgeonfish15-compressed.jpg
40,40.jpg,checkers12-compressed.jpg
41,41.jpg,marker15-compressed.jpg
42,42.jpg,rocking_chair15-compressed.jpg
43,43.jpg,guitar13-compressed.jpg
44,44.jpg,body_ray16-compressed.jpg
45,45.jpg,eye_human132-compressed.jpg
46,46.jpg,eye_human127-compressed.jpg
47,47.jpg,face_bear13-compressed.jpg
48,48.jpg,camisole17-compressed.jpg
49,49.jpg,face_dog13-compressed.jpg
50,50.jpg,peach12-compressed.jpg
51,51.jpg,fruit_salad11-compressed.jpg
52,52.jpg,scarf14-compressed.jpg
53,53.jpg,face_common_iguana12-compressed.jpg
54,54.jpg,fire_truck18-compressed.jpg
55,55.jpg,sailboat14-compressed.jpg
56,56.jpg,elder_male_face80-compressed.jpg
57,57.jpg,elder_male_face95-compressed.jpg
58,58.jpg,body_koala17-compressed.jpg
59,59.jpg,walkie-talkie14-compressed.jpg
60,60.jpg,ear_human18-compressed.jpg
61,61.jpg,hula-hoop20-compressed.jpg
62,62.jpg,mop13-compressed.jpg
63,63.jpg,apple19-compressed.jpg
64,64.jpg,adolescent_male_face31-compressed.jpg
65,65.jpg,maraca15-compressed.jpg
66,66.jpg,tape17-compressed.jpg
67,67.jpg,swing11-compressed.jpg
68,68.jpg,child_female_face81-compressed.jpg
69,69.jpg,child_female_face94-compressed.jpg
70,70.jpg,golf_ball13-compressed.jpg
71,71.jpg,hand_human11-compressed.jpg
72,72.jpg,stretcher13-compressed.jpg
73,73.jpg,puzzle18-compressed.jpg
74,74.jpg,pumpkin11-compressed.jpg
75,75.jpg,cucumber17-compressed.jpg
76,76.jpg,pizza11-compressed.jpg
77,77.jpg,eraser19-compressed.jpg
78,78.jpg,backpack20-compressed.jpg
79,79.jpg,sphygmomanometer12-compressed.jpg
80,80.jpg,child_male_face84-compressed.jpg
81,81.jpg,child_male_face91-compressed.jpg
82,82.jpg,earphone18-compressed.jpg
83,83.jpg,adolescent_female_face151-compressed.jpg
84,84.jpg,adolescent_female_face144-compressed.jpg
85,85.jpg,face_chameleon14-compressed.jpg
86,86.jpg,body_blue_jay17-compressed.jpg
87,87.jpg,body_great_white_shark15-compressed.jpg
88,88.jpg,saxophone20-compressed.jpg
89,89.jpg,train16-compressed.jpg
90,90.jpg,curtain13-compressed.jpg
91,91.jpg,body_rabbit16-compressed.jpg
92,92.jpg,clip19-compressed.jpg
93,93.jpg,mouth_human4-compressed.jpg
94,94.jpg,sewing_machine15-compressed.jpg
95,95.jpg,face_dragonfly15-compressed.jpg
96,96.jpg,chainsaw18-compressed.jpg
97,97.jpg,body_chicken14-compressed.jpg
98,98.jpg,corkscrew14-compressed.jpg
99,99.jpg,burger14-compressed.jpg
100,100.jpg,piano16-compressed.jpg
101,101.jpg,eye_human94-compressed.jpg
102,102.jpg,face_flamingo13-compressed.jpg
103,103.jpg,bus12-compressed.jpg
104,104.jpg,elder_female_face48-compressed.jpg
105,105.jpg,shoe20-compressed.jpg
106,106.jpg,body_elk13-compressed.jpg
107,107.jpg,foot_human17-compressed.jpg
108,108.jpg,body_peacock11-compressed.jpg
109,109.jpg,video_game11-compressed.jpg
110,110.jpg,lemon13-compressed.jpg
111,111.jpg,helmet13-compressed.jpg
112,112.jpg,axe17-compressed.jpg
113,113.jpg,cup13-compressed.jpg
